datetime,wtd (cm)
2013-03-16 00:00:00,-37.3533333333333
2013-03-16 00:20:00,-37.2966666666667
2013-03-16 00:40:00,-37.3366666666667
2013-03-16 01:00:00,-37.3033333333333
2013-03-16 01:20:00,-37.33
2013-03-16 01:40:00,-37.3233333333333
2013-03-16 02:00:00,-37.3266666666667
2013-03-16 02:20:00,-37.3266666666667
2013-03-16 02:40:00,-37.3366666666667
2013-03-16 03:00:00,-37.3133333333333
2013-03-16 03:20:00,-37.3233333333333
2013-03-16 03:40:00,-37.3766666666667
2013-03-16 04:00:00,-37.1933333333333
2013-03-16 04:20:00,-34.9233333333333
2013-03-16 04:40:00,-32.7633333333333
2013-03-16 05:00:00,-32.2466666666667
2013-03-16 05:20:00,-32.0166666666667
2013-03-16 05:40:00,-32.0633333333333
2013-03-16 06:00:00,-32.0766666666667
2013-03-16 06:20:00,-32.0633333333333
2013-03-16 06:40:00,-31.9033333333333
2013-03-16 07:00:00,-31.8266666666667
2013-03-16 07:20:00,-31.7066666666667
2013-03-16 07:40:00,-31.74
2013-03-16 08:00:00,-31.6366666666667
2013-03-16 08:20:00,-31.5466666666667
2013-03-16 08:40:00,-31.5366666666667
2013-03-16 09:00:00,-31.5966666666667
2013-03-16 09:20:00,-31.6533333333333
2013-03-16 09:40:00,-31.6366666666667
2013-03-16 10:00:00,-31.5433333333333
2013-03-16 10:20:00,-31.5533333333333
2013-03-16 10:40:00,-31.57
2013-03-16 11:00:00,-31.5233333333333
2013-03-16 11:20:00,-31.5666666666667
2013-03-16 11:40:00,-31.59
2013-03-16 12:00:00,-31.5866666666667
2013-03-16 12:20:00,-31.5933333333333
2013-03-16 12:40:00,-31.6066666666667
2013-03-16 13:00:00,-31.63
2013-03-16 13:20:00,-31.5966666666667
2013-03-16 13:40:00,-31.6966666666667
2013-03-16 14:00:00,-31.73
2013-03-16 14:20:00,-31.76
2013-03-16 14:40:00,-31.7233333333333
2013-03-16 15:00:00,-31.72
2013-03-16 15:20:00,-31.77
2013-03-16 15:40:00,-31.7866666666667
2013-03-16 16:00:00,-31.7833333333333
2013-03-16 16:20:00,-31.8766666666667
2013-03-16 16:40:00,-32.01
2013-03-16 17:00:00,-31.7566666666667
2013-03-16 17:20:00,-31.8566666666667
2013-03-16 17:40:00,-31.8466666666667
2013-03-16 18:00:00,-31.8966666666667
2013-03-16 18:20:00,-31.8933333333333
2013-03-16 18:40:00,-31.9366666666667
2013-03-16 19:00:00,-31.9433333333333
2013-03-16 19:20:00,-32.0133333333333
2013-03-16 19:40:00,-32.0033333333333
2013-03-16 20:00:00,-31.9766666666667
2013-03-16 20:20:00,-31.9966666666667
2013-03-16 20:40:00,-31.98
2013-03-16 21:00:00,-32.0433333333333
2013-03-16 21:20:00,-32.0466666666667
2013-03-16 21:40:00,-32.0433333333333
2013-03-16 22:00:00,-32.0133333333333
2013-03-16 22:20:00,-31.97
2013-03-16 22:40:00,-32.0066666666667
2013-03-16 23:00:00,-31.9933333333333
2013-03-16 23:20:00,-32.0633333333333
2013-03-16 23:40:00,-32.05
2013-03-17 00:00:00,-32.01
2013-03-17 00:20:00,-32.02
2013-03-17 00:40:00,-32.0333333333333
2013-03-17 01:00:00,-32.0333333333333
2013-03-17 01:20:00,-32.0266666666667
2013-03-17 01:40:00,-32.0266666666667
2013-03-17 02:00:00,-32.0433333333333
2013-03-17 02:20:00,-32.01
2013-03-17 02:40:00,-32.01
2013-03-17 03:00:00,-32.0733333333333
2013-03-17 03:20:00,-32.0766666666667
2013-03-17 03:40:00,-32.07
2013-03-17 04:00:00,-32.1
2013-03-17 04:20:00,-32.1766666666667
2013-03-17 04:40:00,-32.1866666666667
2013-03-17 05:00:00,-32.15
2013-03-17 05:20:00,-32.1366666666667
2013-03-17 05:40:00,-32.1333333333333
2013-03-17 06:00:00,-32.0966666666667
2013-03-17 06:20:00,-32.15
2013-03-17 06:40:00,-32.1033333333333
2013-03-17 07:00:00,-32.13
2013-03-17 07:20:00,-32.1133333333333
2013-03-17 07:40:00,-32.13
2013-03-17 08:00:00,-32.16
2013-03-17 08:20:00,-32.1766666666667
2013-03-17 08:40:00,-32.15
2013-03-17 09:00:00,-32.19
2013-03-17 09:20:00,-32.2166666666667
2013-03-17 09:40:00,-32.23
2013-03-17 10:00:00,-32.2866666666667
2013-03-17 10:20:00,-32.3266666666667
2013-03-17 10:40:00,-32.3433333333333
2013-03-17 11:00:00,-32.3966666666667
2013-03-17 11:20:00,-32.41
2013-03-17 11:40:00,-32.4566666666667
2013-03-17 12:00:00,-32.43
2013-03-17 12:20:00,-32.4666666666667
2013-03-17 12:40:00,-32.5533333333333
2013-03-17 13:00:00,-32.5566666666667
2013-03-17 13:20:00,-32.55
2013-03-17 13:40:00,-32.58
2013-03-17 14:00:00,-32.6366666666667
2013-03-17 14:20:00,-32.5333333333333
2013-03-17 14:40:00,-32.53
2013-03-17 15:00:00,-32.6066666666667
2013-03-17 15:20:00,-32.62
2013-03-17 15:40:00,-32.61
2013-03-17 16:00:00,-32.6166666666667
2013-03-17 16:20:00,-32.5933333333333
2013-03-17 16:40:00,-32.6366666666667
2013-03-17 17:00:00,-32.67
2013-03-17 17:20:00,-32.6866666666667
2013-03-17 17:40:00,-32.7
2013-03-17 18:00:00,-32.66
2013-03-17 18:20:00,-32.66
2013-03-17 18:40:00,-32.6666666666667
2013-03-17 19:00:00,-32.69
2013-03-17 19:20:00,-32.6966666666667
2013-03-17 19:40:00,-32.6733333333333
2013-03-17 20:00:00,-32.6933333333333
2013-03-17 20:20:00,-32.7233333333333
2013-03-17 20:40:00,-32.7033333333333
2013-03-17 21:00:00,-32.7233333333333
2013-03-17 21:20:00,-32.6933333333333
2013-03-17 21:40:00,-32.6866666666667
2013-03-17 22:00:00,-32.7
2013-03-17 22:20:00,-32.69
2013-03-17 22:40:00,-32.6833333333333
2013-03-17 23:00:00,-32.6666666666667
2013-03-17 23:20:00,-32.6433333333333
2013-03-17 23:40:00,-32.67
2013-03-18 00:00:00,-32.6966666666667
2013-03-18 00:20:00,-32.7133333333333
2013-03-18 00:40:00,-32.7133333333333
2013-03-18 01:00:00,-32.6633333333333
2013-03-18 01:20:00,-32.6866666666667
2013-03-18 01:40:00,-32.7366666666667
2013-03-18 02:00:00,-32.73
2013-03-18 02:20:00,-32.7266666666667
2013-03-18 02:40:00,-32.7133333333333
2013-03-18 03:00:00,-32.7133333333333
2013-03-18 03:20:00,-32.7133333333333
2013-03-18 03:40:00,-32.7133333333333
2013-03-18 04:00:00,-32.73
2013-03-18 04:20:00,-32.7366666666667
2013-03-18 04:40:00,-32.7033333333333
2013-03-18 05:00:00,-32.73
2013-03-18 05:20:00,-32.7566666666667
2013-03-18 05:40:00,-32.7066666666667
2013-03-18 06:00:00,-32.7133333333333
2013-03-18 06:20:00,-32.7833333333333
2013-03-18 06:40:00,-32.7466666666667
2013-03-18 07:00:00,-32.78
2013-03-18 07:20:00,-32.85
2013-03-18 07:40:00,-32.8133333333333
2013-03-18 08:00:00,-32.8133333333333
2013-03-18 08:20:00,-32.8433333333333
2013-03-18 08:40:00,-32.8566666666667
2013-03-18 09:00:00,-32.8433333333333
2013-03-18 09:20:00,-32.8833333333333
2013-03-18 09:40:00,-32.8533333333333
2013-03-18 10:00:00,-32.9166666666667
2013-03-18 10:20:00,-32.9866666666667
2013-03-18 10:40:00,-33.01
2013-03-18 11:00:00,-33.0466666666667
2013-03-18 11:20:00,-33.12
2013-03-18 11:40:00,-33.1633333333333
2013-03-18 12:00:00,-33.23
2013-03-18 12:20:00,-33.2966666666667
2013-03-18 12:40:00,-33.3166666666667
2013-03-18 13:00:00,-33.3766666666667
2013-03-18 13:20:00,-33.44
2013-03-18 13:40:00,-33.5066666666667
2013-03-18 14:00:00,-33.5233333333333
2013-03-18 14:20:00,-33.5733333333333
2013-03-18 14:40:00,-33.5933333333333
2013-03-18 15:00:00,-33.65
2013-03-18 15:20:00,-33.6666666666667
2013-03-18 15:40:00,-33.6966666666667
2013-03-18 16:00:00,-33.77
2013-03-18 16:20:00,-33.76
2013-03-18 16:40:00,-33.8066666666667
2013-03-18 17:00:00,-33.85
2013-03-18 17:20:00,-33.87
2013-03-18 17:40:00,-33.9066666666667
2013-03-18 18:00:00,-33.8633333333333
2013-03-18 18:20:00,-33.92
2013-03-18 18:40:00,-33.9233333333333
2013-03-18 19:00:00,-33.9166666666667
2013-03-18 19:20:00,-33.9233333333333
2013-03-18 19:40:00,-33.9333333333333
2013-03-18 20:00:00,-33.93
2013-03-18 20:20:00,-33.9133333333333
2013-03-18 20:40:00,-33.93
2013-03-18 21:00:00,-33.95
2013-03-18 21:20:00,-33.97
2013-03-18 21:40:00,-33.97
2013-03-18 22:00:00,-33.9833333333333
2013-03-18 22:20:00,-33.9733333333333
2013-03-18 22:40:00,-33.95
2013-03-18 23:00:00,-33.9633333333333
2013-03-18 23:20:00,-33.9866666666667
2013-03-18 23:40:00,-33.9833333333333
2013-03-19 00:00:00,-33.93
2013-03-19 00:20:00,-33.9466666666667
2013-03-19 00:40:00,-33.9566666666667
2013-03-19 01:00:00,-33.9466666666667
2013-03-19 01:20:00,-33.9633333333333
2013-03-19 01:40:00,-33.9733333333333
2013-03-19 02:00:00,-33.9966666666667
2013-03-19 02:20:00,-33.99
2013-03-19 02:40:00,-33.97
2013-03-19 03:00:00,-33.9766666666667
2013-03-19 03:20:00,-34.0133333333333
2013-03-19 03:40:00,-34.0166666666667
2013-03-19 04:00:00,-34.0033333333333
2013-03-19 04:20:00,-34.0366666666667
2013-03-19 04:40:00,-34.0366666666667
2013-03-19 05:00:00,-33.99
2013-03-19 05:20:00,-34.0133333333333
2013-03-19 05:40:00,-33.9766666666667
2013-03-19 06:00:00,-34.0133333333333
2013-03-19 06:20:00,-33.9966666666667
2013-03-19 06:40:00,-34.06
2013-03-19 07:00:00,-34.0666666666667
2013-03-19 07:20:00,-34.06
2013-03-19 07:40:00,-34.0833333333333
2013-03-19 08:00:00,-34.0566666666667
2013-03-19 08:20:00,-34.11
2013-03-19 08:40:00,-34.1533333333333
2013-03-19 09:00:00,-34.1266666666667
2013-03-19 09:20:00,-34.17
2013-03-19 09:40:00,-34.17
2013-03-19 10:00:00,-34.22
2013-03-19 10:20:00,-34.2533333333333
2013-03-19 10:40:00,-34.3366666666667
2013-03-19 11:00:00,-34.36
2013-03-19 11:20:00,-34.4466666666667
2013-03-19 11:40:00,-34.49
2013-03-19 12:00:00,-34.51
2013-03-19 12:20:00,-34.56
2013-03-19 12:40:00,-34.5833333333333
2013-03-19 13:00:00,-34.7233333333333
2013-03-19 13:20:00,-34.7233333333333
2013-03-19 13:40:00,-34.7866666666667
2013-03-19 14:00:00,-34.7933333333333
2013-03-19 14:20:00,-34.8866666666667
2013-03-19 14:40:00,-34.9466666666667
2013-03-19 15:00:00,-34.97
2013-03-19 15:20:00,-35.0533333333333
2013-03-19 15:40:00,-35.0633333333333
2013-03-19 16:00:00,-35.1333333333333
2013-03-19 16:20:00,-35.1566666666667
2013-03-19 16:40:00,-35.1933333333333
2013-03-19 17:00:00,-35.2066666666667
2013-03-19 17:20:00,-35.27
2013-03-19 17:40:00,-35.2633333333333
2013-03-19 18:00:00,-35.2766666666667
2013-03-19 18:20:00,-35.3033333333333
2013-03-19 18:40:00,-35.2833333333333
2013-03-19 19:00:00,-35.3166666666667
2013-03-19 19:20:00,-35.32
2013-03-19 19:40:00,-35.35
2013-03-19 20:00:00,-35.34
2013-03-19 20:20:00,-35.31
2013-03-19 20:40:00,-35.3366666666667
2013-03-19 21:00:00,-35.32
2013-03-19 21:20:00,-35.3666666666667
2013-03-19 21:40:00,-35.3966666666667
2013-03-19 22:00:00,-35.3433333333333
2013-03-19 22:20:00,-35.3333333333333
2013-03-19 22:40:00,-35.3333333333333
2013-03-19 23:00:00,-35.3833333333333
2013-03-19 23:20:00,-35.3333333333333
2013-03-19 23:40:00,-35.3066666666667
2013-03-20 00:00:00,-35.3366666666667
2013-03-20 00:20:00,-35.3333333333333
2013-03-20 00:40:00,-35.3266666666667
2013-03-20 01:00:00,-35.3333333333333
2013-03-20 01:20:00,-35.32
2013-03-20 01:40:00,-35.3533333333333
2013-03-20 02:00:00,-35.3333333333333
2013-03-20 02:20:00,-35.3466666666667
2013-03-20 02:40:00,-35.36
