datetime,waterlevel (mm)
2012-02-06 22:20:00,-106.542286
2012-02-06 22:40:00,-107.1659888
2012-02-06 23:00:00,-106.5956918
2012-02-06 23:20:00,-107.1171133
2012-02-06 23:40:00,-106.922802
2012-02-07 00:00:00,-106.5692273
2012-02-07 00:20:00,-106.8195668
2012-02-07 00:40:00,-106.4707603
2012-02-07 01:00:00,-107.368883
2012-02-07 01:20:00,-107.7622738
2012-02-07 01:40:00,-107.637104
2012-02-07 02:00:00,-107.9625455
2012-02-07 02:20:00,-107.9096165
2012-02-07 02:40:00,-108.7569563
2012-02-07 03:00:00,-108.680424
2012-02-07 03:20:00,-109.1298428
2012-02-07 03:40:00,-109.4755498
2012-02-07 04:00:00,-109.2295018
2012-02-07 04:20:00,-109.600481
2012-02-07 04:40:00,-109.6493568
2012-02-07 05:00:00,-110.0279655
2012-02-07 05:20:00,-109.9492875
2012-02-07 05:40:00,-111.2496223
2012-02-07 06:00:00,-112.326559
2012-02-07 06:20:00,-112.3272743
2012-02-07 06:40:00,-111.4558545
2012-02-07 07:00:00,-110.6538143
2012-02-07 07:20:00,-111.3008825
2012-02-07 07:40:00,-111.7598383
2012-02-07 08:00:00,-111.5340558
2012-02-07 08:20:00,-112.507042
2012-02-07 08:40:00,-111.8916838
2012-02-07 09:00:00,-112.5864353
2012-02-07 09:20:00,-112.6446095
2012-02-07 09:40:00,-112.774786
2012-02-07 10:00:00,-112.8963795
2012-02-07 10:20:00,-113.172945
2012-02-07 10:40:00,-112.2743453
2012-02-07 11:00:00,-112.7716865
2012-02-07 11:20:00,-112.9128303
2012-02-07 11:40:00,-112.721857
2012-02-07 12:00:00,-112.5413743
2012-02-07 12:20:00,-112.8997175
2012-02-07 12:40:00,-112.9156915
2012-02-07 13:00:00,-112.4195423
2012-02-07 13:20:00,-113.2177678
2012-02-07 13:40:00,-112.7430763
2012-02-07 14:00:00,-112.567362
2012-02-07 14:20:00,-111.7371883
2012-02-07 14:40:00,-112.8198473
2012-02-07 15:00:00,-112.1365395
2012-02-07 15:20:00,-112.7142278
2012-02-07 15:40:00,-112.2874583
2012-02-07 16:00:00,-112.9533618
2012-02-07 16:20:00,-112.3344268
2012-02-07 16:40:00,-112.43194
2012-02-07 17:00:00,-112.2819748
2012-02-07 17:20:00,-113.0596963
2012-02-07 17:40:00,-111.8826235
2012-02-07 18:00:00,-112.5101415
2012-02-07 18:20:00,-112.5685538
2012-02-07 18:40:00,-111.8075218
2012-02-07 19:00:00,-106.1202853
2012-02-07 19:20:00,-102.4367178
2012-02-07 19:40:00,-84.922489
2012-02-07 20:00:00,-71.27612475
2012-02-07 20:20:00,-66.70397175
2012-02-07 20:40:00,-62.90095725
2012-02-07 21:00:00,-60.06687525
2012-02-07 21:20:00,-57.3448505
2012-02-07 21:40:00,-56.8954315
2012-02-07 22:00:00,-57.01630975
2012-02-07 22:20:00,-57.825264
2012-02-07 22:40:00,-57.252821
2012-02-07 23:00:00,-56.3439695
2012-02-07 23:20:00,-57.22063425
2012-02-07 23:40:00,-55.922207
2012-02-08 00:00:00,-56.0433235
2012-02-08 00:20:00,-56.69396775
2012-02-08 00:40:00,-57.31624025
2012-02-08 01:00:00,-57.993826
2012-02-08 01:20:00,-58.68929275
2012-02-08 01:40:00,-59.94099075
2012-02-08 02:00:00,-59.137758
2012-02-08 02:20:00,-58.90959175
2012-02-08 02:40:00,-60.36442175
2012-02-08 03:00:00,-60.65553075
2012-02-08 03:20:00,-62.4813405
2012-02-08 03:40:00,-61.68526075
2012-02-08 04:00:00,-62.37476725
2012-02-08 04:20:00,-64.14836325
2012-02-08 04:40:00,-64.0465585
2012-02-08 05:00:00,-64.67431475
2012-02-08 05:20:00,-64.35411825
2012-02-08 05:40:00,-64.3219315
2012-02-08 06:00:00,-65.0946465
2012-02-08 06:20:00,-64.8729175
2012-02-08 06:40:00,-66.1198465
2012-02-08 07:00:00,-65.601286
2012-02-08 07:20:00,-66.70468675
2012-02-08 07:40:00,-67.61067775
2012-02-08 08:00:00,-67.95948375
2012-02-08 08:20:00,-67.83932125
2012-02-08 08:40:00,-69.3051185
2012-02-08 09:00:00,-68.96608725
2012-02-08 09:20:00,-68.46969975
2012-02-08 09:40:00,-69.01853925
2012-02-08 10:00:00,-70.084747
2012-02-08 10:20:00,-70.697483
2012-02-08 10:40:00,-70.22970575
2012-02-08 11:00:00,-70.2425805
2012-02-08 11:20:00,-70.66553475
2012-02-08 11:40:00,-70.870098
2012-02-08 12:00:00,-70.68961525
2012-02-08 12:20:00,-71.1910095
2012-02-08 12:40:00,-71.791109
2012-02-08 13:00:00,-71.446594
2012-02-08 13:20:00,-71.39080425
2012-02-08 13:40:00,-71.372446
