datetime,precipitation rate (mm/h)
2012-02-06 22:30:00,0.0
2012-02-06 23:00:00,0.0
2012-02-06 23:30:00,0.0
2012-02-07 00:00:00,0.0
2012-02-07 00:30:00,0.0
2012-02-07 01:00:00,0.0
2012-02-07 01:30:00,0.0
2012-02-07 02:00:00,0.0
2012-02-07 02:30:00,0.0
2012-02-07 03:00:00,0.0
2012-02-07 03:30:00,0.0
2012-02-07 04:00:00,0.0
2012-02-07 04:30:00,0.0
2012-02-07 05:00:00,0.0
2012-02-07 05:30:00,0.0
2012-02-07 06:00:00,0.0
2012-02-07 06:30:00,0.0
2012-02-07 07:00:00,0.0
2012-02-07 07:30:00,0.0
2012-02-07 08:00:00,0.0
2012-02-07 08:30:00,0.0
2012-02-07 09:00:00,0.0
2012-02-07 09:30:00,0.0
2012-02-07 10:00:00,0.0
2012-02-07 10:30:00,0.0
2012-02-07 11:00:00,0.0
2012-02-07 11:30:00,0.0
2012-02-07 12:00:00,0.0
2012-02-07 12:30:00,0.0
2012-02-07 13:00:00,0.0
2012-02-07 13:30:00,0.0072031543
2012-02-07 14:00:00,1.0255296
2012-02-07 14:30:00,1.0304832
2012-02-07 15:00:00,2.1275442
2012-02-07 15:30:00,0.31538624
2012-02-07 16:00:00,0.4364192
2012-02-07 16:30:00,1.4025916
2012-02-07 17:00:00,1.0817931
2012-02-07 17:30:00,1.0877005
2012-02-07 18:00:00,1.0877007
2012-02-07 18:30:00,1.3970846
2012-02-07 19:00:00,4.1683197
2012-02-07 19:30:00,2.479736
2012-02-07 20:00:00,7.497129
2012-02-07 20:30:00,4.844809
2012-02-07 21:00:00,2.5129876
2012-02-07 21:30:00,2.8396044
2012-02-07 22:00:00,4.3762784
2012-02-07 22:30:00,4.3794255
2012-02-07 23:00:00,4.242742
2012-02-07 23:30:00,2.7249966
2012-02-08 00:00:00,1.9611837
2012-02-08 00:30:00,1.3785598
2012-02-08 01:00:00,0.7980759
2012-02-08 01:30:00,0.9404092
2012-02-08 02:00:00,0.68696874
2012-02-08 02:30:00,0.6749952
2012-02-08 03:00:00,0.3408515
2012-02-08 03:30:00,0.22041687
2012-02-08 04:00:00,0.12517042
2012-02-08 04:30:00,0.06955074
2012-02-08 05:00:00,0.028675701
2012-02-08 05:30:00,0.017735312
2012-02-08 06:00:00,0.0
2012-02-08 06:30:00,0.0
2012-02-08 07:00:00,0.0
2012-02-08 07:30:00,0.0
2012-02-08 08:00:00,0.0
2012-02-08 08:30:00,0.0054537635
2012-02-08 09:00:00,0.34608406
2012-02-08 09:30:00,0.0
2012-02-08 10:00:00,0.0
2012-02-08 10:30:00,0.0
2012-02-08 11:00:00,0.0
2012-02-08 11:30:00,0.0
2012-02-08 12:00:00,0.7370602
2012-02-08 12:30:00,2.3486974
2012-02-08 13:00:00,2.1253095
2012-02-08 13:30:00,2.0882664
2012-02-08 14:00:00,1.0545093
2012-02-08 14:30:00,0.68191475
2012-02-08 15:00:00,0.38724598
2012-02-08 15:30:00,0.2151726
2012-02-08 16:00:00,0.08871545
2012-02-08 16:30:00,0.05486862
2012-02-08 17:00:00,0.0
2012-02-08 17:30:00,0.0
2012-02-08 18:00:00,0.0
2012-02-08 18:30:00,0.0
2012-02-08 19:00:00,0.0
