datetime,precipitation rate (mm/h)
2012-02-06 22:30:00,0.087927334
2012-02-06 23:00:00,0.087927334
2012-02-06 23:30:00,0.087927334
2012-02-07 00:00:00,0.087927334
2012-02-07 00:30:00,0.087927334
2012-02-07 01:00:00,0.087927334
2012-02-07 01:30:00,0.087927334
2012-02-07 02:00:00,0.087927334
2012-02-07 02:30:00,0.087927334
2012-02-07 03:00:00,0.087927334
2012-02-07 03:30:00,0.087927334
2012-02-07 04:00:00,0.087927334
2012-02-07 04:30:00,0.087927334
2012-02-07 05:00:00,0.087927334
2012-02-07 05:30:00,0.087927334
2012-02-07 06:00:00,0.087927334
2012-02-07 06:30:00,0.087927334
2012-02-07 07:00:00,0.087927334
2012-02-07 07:30:00,0.087927334
2012-02-07 08:00:00,0.087927334
2012-02-07 08:30:00,0.087927334
2012-02-07 09:00:00,0.087927334
2012-02-07 09:30:00,0.087927334
2012-02-07 10:00:00,0.087927334
2012-02-07 10:30:00,0.087927334
2012-02-07 11:00:00,0.087927334
2012-02-07 11:30:00,0.087927334
2012-02-07 12:00:00,0.087927334
2012-02-07 12:30:00,0.087927334
2012-02-07 13:00:00,0.087927334
2012-02-07 13:30:00,0.10329854
2012-02-07 14:00:00,0.29908612
2012-02-07 14:30:00,0.30137846
2012-02-07 15:00:00,0.7121203
2012-02-07 15:30:00,0.20139226
2012-02-07 16:00:00,0.21995136
2012-02-07 16:30:00,0.45733967
2012-02-07 17:00:00,0.32512245
2012-02-07 17:30:00,0.32785612
2012-02-07 18:00:00,0.32785624
2012-02-07 18:30:00,0.45523342
2012-02-07 19:00:00,2.1081154
2012-02-07 19:30:00,0.87606007
2012-02-07 20:00:00,5.1363435
2012-02-07 20:30:00,2.7107418
2012-02-07 21:00:00,0.8995691
2012-02-07 21:30:00,1.1231276
2012-02-07 22:00:00,2.2931688
2012-02-07 22:30:00,2.2959692
2012-02-07 23:00:00,2.1743407
2012-02-07 23:30:00,1.0490764
2012-02-08 00:00:00,0.66975945
2012-02-08 00:30:00,0.44814822
2012-02-08 01:00:00,0.2636111
2012-02-08 01:30:00,0.27906355
2012-02-08 02:00:00,0.25130662
2012-02-08 02:30:00,0.24997428
2012-02-08 03:00:00,0.20551452
2012-02-08 03:30:00,0.18438917
2012-02-08 04:00:00,0.16142353
2012-02-08 04:30:00,0.14436649
2012-02-08 05:00:00,0.12564516
2012-02-08 05:30:00,0.12034465
2012-02-08 06:00:00,0.087927334
2012-02-08 06:30:00,0.087927334
2012-02-08 07:00:00,0.087927334
2012-02-08 07:30:00,0.087927334
2012-02-08 08:00:00,0.087927334
2012-02-08 08:30:00,0.09956542
2012-02-08 09:00:00,0.20636156
2012-02-08 09:30:00,0.087927334
2012-02-08 10:00:00,0.087927334
2012-02-08 10:30:00,0.087927334
2012-02-08 11:00:00,0.087927334
2012-02-08 11:30:00,0.087927334
2012-02-08 12:00:00,0.25688052
2012-02-08 12:30:00,0.7834151
2012-02-08 13:00:00,0.71155125
2012-02-08 13:30:00,0.7021189
2012-02-08 14:00:00,0.31249666
2012-02-08 14:30:00,0.25074425
2012-02-08 15:00:00,0.21302477
2012-02-08 15:30:00,0.18319273
2012-02-08 16:00:00,0.15024379
2012-02-08 16:30:00,0.13833539
2012-02-08 17:00:00,0.087927334
2012-02-08 17:30:00,0.087927334
2012-02-08 18:00:00,0.087927334
2012-02-08 18:30:00,0.087927334
2012-02-08 19:00:00,0.087927334
2012-02-08 19:30:00,0.087927334
2012-02-08 20:00:00,0.087927334
2012-02-08 20:30:00,0.087927334
2012-02-08 21:00:00,0.087927334
2012-02-08 21:30:00,0.087927334
2012-02-08 22:00:00,0.087927334
2012-02-08 22:30:00,0.087927334
2012-02-08 23:00:00,0.087927334
2012-02-08 23:30:00,0.087927334
2012-02-09 00:00:00,0.087927334
2012-02-09 00:30:00,0.087927334
2012-02-09 01:00:00,0.087927334
2012-02-09 01:30:00,0.087927334
2012-02-09 02:00:00,0.087927334
2012-02-09 02:30:00,0.087927334
2012-02-09 03:00:00,0.087927334
2012-02-09 03:30:00,0.087927334
2012-02-09 04:00:00,0.087927334
2012-02-09 04:30:00,0.087927334
2012-02-09 05:00:00,0.087927334
2012-02-09 05:30:00,0.087927334
2012-02-09 06:00:00,0.087927334
2012-02-09 06:30:00,0.087927334
2012-02-09 07:00:00,0.25413173
2012-02-09 07:30:00,0.89767426
2012-02-09 08:00:00,1.2360795
2012-02-09 08:30:00,1.8228039
2012-02-09 09:00:00,3.2188745
2012-02-09 09:30:00,3.6875997
2012-02-09 10:00:00,2.8243215
2012-02-09 10:30:00,1.2017761
2012-02-09 11:00:00,0.57590675
2012-02-09 11:30:00,0.45519152
2012-02-09 12:00:00,0.087927334
2012-02-09 12:30:00,0.087927334
2012-02-09 13:00:00,0.087927334
2012-02-09 13:30:00,0.087927334
2012-02-09 14:00:00,0.087927334
2012-02-09 14:30:00,0.087927334
2012-02-09 15:00:00,0.087927334
2012-02-09 15:30:00,0.087927334
2012-02-09 16:00:00,0.087927334
2012-02-09 16:30:00,0.087927334
2012-02-09 17:00:00,0.14332037
2012-02-09 17:30:00,0.09927955
2012-02-09 18:00:00,0.20572245
2012-02-09 18:30:00,0.087927334
2012-02-09 19:00:00,0.087927334
2012-02-09 19:30:00,0.087927334
2012-02-09 20:00:00,0.11980811
2012-02-09 20:30:00,0.087927334
2012-02-09 21:00:00,0.087927334
2012-02-09 21:30:00,0.087927334
2012-02-09 22:00:00,0.087927334
2012-02-09 22:30:00,0.087927334
2012-02-09 23:00:00,0.087927334
2012-02-09 23:30:00,0.087927334
2012-02-10 00:00:00,0.087927334
2012-02-10 00:30:00,0.087927334
2012-02-10 01:00:00,0.087927334
2012-02-10 01:30:00,0.087927334
2012-02-10 02:00:00,0.087927334
2012-02-10 02:30:00,0.087927334
2012-02-10 03:00:00,0.087927334
2012-02-10 03:30:00,0.087927334
2012-02-10 04:00:00,0.087927334
2012-02-10 04:30:00,0.087927334
2012-02-10 05:00:00,0.087927334
2012-02-10 05:30:00,0.087927334
2012-02-10 06:00:00,0.087927334
2012-02-10 06:30:00,0.087927334
2012-02-10 07:00:00,0.22171016
2012-02-10 07:30:00,0.25524047
2012-02-10 08:00:00,0.50544834
2012-02-10 08:30:00,0.7552699
2012-02-10 09:00:00,1.5112922
2012-02-10 09:30:00,1.7502561
2012-02-10 10:00:00,2.273671
2012-02-10 10:30:00,2.5053306
2012-02-10 11:00:00,3.4934776
2012-02-10 11:30:00,1.4834667
2012-02-10 12:00:00,1.0116622
2012-02-10 12:30:00,0.23936254
2012-02-10 13:00:00,0.36155394
2012-02-10 13:30:00,0.43112648
2012-02-10 14:00:00,0.6357039
2012-02-10 14:30:00,0.63503075
2012-02-10 15:00:00,0.28111795
2012-02-10 15:30:00,0.29291064
2012-02-10 16:00:00,0.21884906
2012-02-10 16:30:00,0.24225362
2012-02-10 17:00:00,0.1575204
2012-02-10 17:30:00,0.13487017
2012-02-10 18:00:00,0.10341284
2012-02-10 18:30:00,0.0928228
2012-02-10 19:00:00,0.087927334
2012-02-10 19:30:00,0.087927334
2012-02-10 20:00:00,0.16067947
2012-02-10 20:30:00,0.13860372
2012-02-10 21:00:00,0.087927334
2012-02-10 21:30:00,0.087927334
2012-02-10 22:00:00,0.087927334
2012-02-10 22:30:00,0.087927334
2012-02-10 23:00:00,0.087927334
2012-02-10 23:30:00,0.087927334
2012-02-11 00:00:00,0.087927334
2012-02-11 00:30:00,0.087927334
2012-02-11 01:00:00,0.087927334
2012-02-11 01:30:00,0.087927334
2012-02-11 02:00:00,0.087927334
2012-02-11 02:30:00,0.087927334
2012-02-11 03:00:00,0.087927334
2012-02-11 03:30:00,0.087927334
2012-02-11 04:00:00,0.087927334
2012-02-11 04:30:00,0.087927334
2012-02-11 05:00:00,0.087927334
2012-02-11 05:30:00,0.087927334
2012-02-11 06:00:00,0.087927334
2012-02-11 06:30:00,0.087927334
2012-02-11 07:00:00,0.087927334
2012-02-11 07:30:00,0.12845707
2012-02-11 08:00:00,0.1324249
2012-02-11 08:30:00,0.14489675
2012-02-11 09:00:00,0.1298492
2012-02-11 09:30:00,0.087927334
2012-02-11 10:00:00,0.087927334
2012-02-11 10:30:00,0.087927334
2012-02-11 11:00:00,0.12103511
2012-02-11 11:30:00,0.21832103
2012-02-11 12:00:00,1.213066
2012-02-11 12:30:00,0.27520967
2012-02-11 13:00:00,0.17614292
2012-02-11 13:30:00,0.18307982
2012-02-11 14:00:00,0.18336092
2012-02-11 14:30:00,0.15953144
2012-02-11 15:00:00,0.1553656
2012-02-11 15:30:00,0.15650824
2012-02-11 16:00:00,0.16613382
2012-02-11 16:30:00,0.17333445
2012-02-11 17:00:00,0.18368977
2012-02-11 17:30:00,0.21485937
2012-02-11 18:00:00,0.21499957
2012-02-11 18:30:00,0.17738192
2012-02-11 19:00:00,0.087927334
2012-02-11 19:30:00,0.087927334
2012-02-11 20:00:00,0.087927334
2012-02-11 20:30:00,0.087927334
2012-02-11 21:00:00,0.087927334
2012-02-11 21:30:00,0.087927334
2012-02-11 22:00:00,0.087927334
2012-02-11 22:30:00,0.087927334
2012-02-11 23:00:00,0.087927334
2012-02-11 23:30:00,0.087927334
2012-02-12 00:00:00,0.087927334
2012-02-12 00:30:00,0.087927334
2012-02-12 01:00:00,0.087927334
2012-02-12 01:30:00,0.087927334
