time,CDF err scaled
2012-02-06 22:00:00,inf
2012-02-06 22:30:00,inf
2012-02-06 23:00:00,inf
2012-02-06 23:30:00,inf
2012-02-07 00:00:00,inf
2012-02-07 00:30:00,inf
2012-02-07 01:00:00,inf
2012-02-07 01:30:00,inf
2012-02-07 02:00:00,inf
2012-02-07 02:30:00,inf
2012-02-07 03:00:00,inf
2012-02-07 03:30:00,inf
2012-02-07 04:00:00,inf
2012-02-07 04:30:00,inf
2012-02-07 05:00:00,inf
2012-02-07 05:30:00,inf
2012-02-07 06:00:00,inf
2012-02-07 06:30:00,inf
2012-02-07 07:00:00,inf
2012-02-07 07:30:00,inf
2012-02-07 08:00:00,inf
2012-02-07 08:30:00,inf
2012-02-07 09:00:00,inf
2012-02-07 09:30:00,inf
2012-02-07 10:00:00,inf
2012-02-07 10:30:00,inf
2012-02-07 11:00:00,inf
2012-02-07 11:30:00,inf
2012-02-07 12:00:00,inf
2012-02-07 12:30:00,inf
2012-02-07 13:00:00,inf
2012-02-07 13:30:00,3.0269732
2012-02-07 14:00:00,0.9916091
2012-02-07 14:30:00,0.999542
2012-02-07 15:00:00,2.3508027
2012-02-07 15:30:00,0.54657644
2012-02-07 16:00:00,0.63942754
2012-02-07 16:30:00,1.5307018
2012-02-07 17:00:00,1.0814432
2012-02-07 17:30:00,1.0908403
2012-02-07 18:00:00,1.0908406
2012-02-07 18:30:00,1.5235574
2012-02-07 19:00:00,7.796822
2012-02-07 19:30:00,2.9066818
2012-02-07 20:00:00,18.990797
2012-02-07 20:30:00,10.112819
2012-02-07 21:00:00,2.999492
2012-02-07 21:30:00,3.8933144
2012-02-07 22:00:00,8.51205
2012-02-07 22:30:00,8.522851
2012-02-07 23:00:00,8.053143
2012-02-07 23:30:00,3.593737
2012-02-08 00:00:00,2.2230747
2012-02-08 00:30:00,1.4994807
2012-02-08 01:00:00,0.8487834
2012-02-08 01:30:00,0.9183865
2012-02-08 02:00:00,0.7859459
2012-02-08 02:30:00,0.77846736
2012-02-08 03:00:00,0.5729838
2012-02-08 03:30:00,0.5519522
2012-02-08 04:00:00,0.5580687
2012-02-08 04:30:00,0.57983744
2012-02-08 05:00:00,1.0592273
2012-02-08 05:30:00,1.5465529
2012-02-08 06:00:00,inf
2012-02-08 06:30:00,inf
2012-02-08 07:00:00,inf
2012-02-08 07:30:00,inf
2012-02-08 08:00:00,inf
2012-02-08 08:30:00,3.7860029
2012-02-08 09:00:00,0.57807344
2012-02-08 09:30:00,inf
2012-02-08 10:00:00,inf
2012-02-08 10:30:00,inf
2012-02-08 11:00:00,inf
2012-02-08 11:30:00,inf
2012-02-08 12:00:00,0.81565905
2012-02-08 12:30:00,2.565262
2012-02-08 13:00:00,2.3491066
2012-02-08 13:30:00,2.3209207
2012-02-08 14:00:00,1.0379544
2012-02-08 14:30:00,0.78280854
2012-02-08 15:00:00,0.61144334
2012-02-08 15:30:00,0.55320835
2012-02-08 16:00:00,0.55360603
2012-02-08 16:30:00,0.67265993
2012-02-08 17:00:00,inf
2012-02-08 17:30:00,inf
2012-02-08 18:00:00,inf
2012-02-08 18:30:00,inf
2012-02-08 19:00:00,inf
2012-02-08 19:30:00,inf
2012-02-08 20:00:00,inf
2012-02-08 20:30:00,inf
2012-02-08 21:00:00,inf
2012-02-08 21:30:00,inf
