datetime,waterlevel (mm)
2012-02-06 22:20:00,-106.8541374
2012-02-06 22:40:00,-106.76798886666666
2012-02-06 23:00:00,-106.95959796666666
2012-02-06 23:20:00,-106.8785357
2012-02-06 23:40:00,-106.86971419999999
2012-02-07 00:00:00,-106.77053203333332
2012-02-07 00:20:00,-106.61985146666666
2012-02-07 00:40:00,-106.88640336666667
2012-02-07 01:00:00,-107.20063903333333
2012-02-07 01:20:00,-107.58942026666666
2012-02-07 01:40:00,-107.78730776666667
2012-02-07 02:00:00,-107.83642200000001
2012-02-07 02:20:00,-108.20970609999999
2012-02-07 02:40:00,-108.44899893333333
2012-02-07 03:00:00,-108.85574103333333
2012-02-07 03:20:00,-109.0952722
2012-02-07 03:40:00,-109.27829813333334
2012-02-07 04:00:00,-109.43517753333333
2012-02-07 04:20:00,-109.4931132
2012-02-07 04:40:00,-109.75926776666667
2012-02-07 05:00:00,-109.87553659999999
2012-02-07 05:20:00,-110.40895843333332
2012-02-07 05:40:00,-111.17515626666666
2012-02-07 06:00:00,-111.96781853333334
2012-02-07 06:20:00,-112.03656260000001
2012-02-07 06:40:00,-111.47898103333334
2012-02-07 07:00:00,-111.13685043333334
2012-02-07 07:20:00,-111.23817836666667
2012-02-07 07:40:00,-111.53159219999999
2012-02-07 08:00:00,-111.93364536666667
2012-02-07 08:20:00,-111.97759386666667
2012-02-07 08:40:00,-112.32838703333334
2012-02-07 09:00:00,-112.37424286666665
2012-02-07 09:20:00,-112.66861026666668
2012-02-07 09:40:00,-112.77192500000001
2012-02-07 10:00:00,-112.94803683333333
2012-02-07 10:20:00,-112.78122326666666
2012-02-07 10:40:00,-112.73965893333333
2012-02-07 11:00:00,-112.65295403333333
2012-02-07 11:20:00,-112.8021246
2012-02-07 11:40:00,-112.72535386666668
2012-02-07 12:00:00,-112.72098293333333
2012-02-07 12:20:00,-112.78559443333334
2012-02-07 12:40:00,-112.74498376666666
2012-02-07 13:00:00,-112.85100053333333
2012-02-07 13:20:00,-112.79346213333334
2012-02-07 13:40:00,-112.84273536666667
2012-02-07 14:00:00,-112.34920886666667
2012-02-07 14:20:00,-112.3747992
2012-02-07 14:40:00,-112.2311917
2012-02-07 15:00:00,-112.55687153333334
2012-02-07 15:20:00,-112.37940853333333
2012-02-07 15:40:00,-112.65168263333334
2012-02-07 16:00:00,-112.52508230000001
2012-02-07 16:20:00,-112.57324286666666
2012-02-07 16:40:00,-112.3494472
2012-02-07 17:00:00,-112.5912037
2012-02-07 17:20:00,-112.4080982
2012-02-07 17:40:00,-112.48415376666667
2012-02-07 18:00:00,-112.3204396
2012-02-07 18:20:00,-112.2954057
2012-02-07 18:40:00,-110.16545363333334
2012-02-07 19:00:00,-106.78817496666666
2012-02-07 19:20:00,-97.82649736666667
2012-02-07 19:40:00,-86.21177718333333
2012-02-07 20:00:00,-74.30086183333333
2012-02-07 20:20:00,-66.96035124999999
2012-02-07 20:40:00,-63.22393474999999
2012-02-07 21:00:00,-60.10422766666667
2012-02-07 21:20:00,-58.102385749999996
2012-02-07 21:40:00,-57.08553058333333
2012-02-07 22:00:00,-57.24566841666666
2012-02-07 22:20:00,-57.36479825
2012-02-07 22:40:00,-57.14068483333333
2012-02-07 23:00:00,-56.93914158333333
2012-02-07 23:20:00,-56.49560358333334
2012-02-07 23:40:00,-56.395388249999996
2012-02-08 00:00:00,-56.21983275
2012-02-08 00:20:00,-56.684510499999995
2012-02-08 00:40:00,-57.334678
2012-02-08 01:00:00,-57.99978633333333
2012-02-08 01:20:00,-58.87470316666667
2012-02-08 01:40:00,-59.25601383333333
2012-02-08 02:00:00,-59.32944683333333
2012-02-08 02:20:00,-59.47059049999999
2012-02-08 02:40:00,-59.97651475
2012-02-08 03:00:00,-61.167097666666656
2012-02-08 03:20:00,-61.60737733333334
2012-02-08 03:40:00,-62.180456166666666
2012-02-08 04:00:00,-62.73613041666666
2012-02-08 04:20:00,-63.52322966666666
2012-02-08 04:40:00,-64.2897455
2012-02-08 05:00:00,-64.3583305
2012-02-08 05:20:00,-64.4501215
2012-02-08 05:40:00,-64.59023208333333
2012-02-08 06:00:00,-64.76316516666667
2012-02-08 06:20:00,-65.36247016666665
2012-02-08 06:40:00,-65.53134999999999
2012-02-08 07:00:00,-66.14193974999999
2012-02-08 07:20:00,-66.63888349999999
2012-02-08 07:40:00,-67.42494941666666
2012-02-08 08:00:00,-67.80316091666667
2012-02-08 08:20:00,-68.3679745
2012-02-08 08:40:00,-68.703509
2012-02-08 09:00:00,-68.91363516666667
2012-02-08 09:20:00,-68.81810875000001
2012-02-08 09:40:00,-69.19099533333333
2012-02-08 10:00:00,-69.93358975
2012-02-08 10:20:00,-70.33731191666665
2012-02-08 10:40:00,-70.38992308333333
2012-02-08 11:00:00,-70.37927366666666
2012-02-08 11:20:00,-70.59273774999998
2012-02-08 11:40:00,-70.74174933333335
2012-02-08 12:00:00,-70.91690758333334
2012-02-08 12:20:00,-71.22391125
2012-02-08 12:40:00,-71.47623750000001
2012-02-08 13:00:00,-71.54283575
2012-02-08 13:20:00,-71.40328141666667
2012-02-08 13:40:00,-71.5673135
2012-02-08 14:00:00,-71.80604991666665
2012-02-08 14:20:00,-72.13037866666666
2012-02-08 14:40:00,-72.36299566666666
2012-02-08 15:00:00,-72.27374766666667
2012-02-08 15:20:00,-72.31443774999998
2012-02-08 15:40:00,-72.32063666666666
2012-02-08 16:00:00,-72.64369391666666
2012-02-08 16:20:00,-72.96603591666666
2012-02-08 16:40:00,-73.17536741666666
2012-02-08 17:00:00,-73.49198724999998
2012-02-08 17:20:00,-73.62438891666666
2012-02-08 17:40:00,-73.92320683333332
