datetime,wtd (mm)
2013-03-16 00:00:00,-373.533333333333
2013-03-16 00:20:00,-372.966666666667
2013-03-16 00:40:00,-373.366666666667
2013-03-16 01:00:00,-373.033333333333
2013-03-16 01:20:00,-373.3
2013-03-16 01:40:00,-373.233333333333
2013-03-16 02:00:00,-373.266666666667
2013-03-16 02:20:00,-373.266666666667
2013-03-16 02:40:00,-373.366666666667
2013-03-16 03:00:00,-373.133333333333
2013-03-16 03:20:00,-373.233333333333
2013-03-16 03:40:00,-373.766666666667
2013-03-16 04:00:00,-371.933333333333
2013-03-16 04:20:00,-349.233333333333
2013-03-16 04:40:00,-327.633333333333
2013-03-16 05:00:00,-322.466666666667
2013-03-16 05:20:00,-320.166666666667
2013-03-16 05:40:00,-320.633333333333
2013-03-16 06:00:00,-320.766666666667
2013-03-16 06:20:00,-320.633333333333
2013-03-16 06:40:00,-319.033333333333
2013-03-16 07:00:00,-318.266666666667
2013-03-16 07:20:00,-317.066666666667
2013-03-16 07:40:00,-317.4
2013-03-16 08:00:00,-316.366666666667
2013-03-16 08:20:00,-315.466666666667
2013-03-16 08:40:00,-315.366666666667
2013-03-16 09:00:00,-315.966666666667
2013-03-16 09:20:00,-316.533333333333
2013-03-16 09:40:00,-316.366666666667
2013-03-16 10:00:00,-315.433333333333
2013-03-16 10:20:00,-315.533333333333
2013-03-16 10:40:00,-315.7
2013-03-16 11:00:00,-315.233333333333
2013-03-16 11:20:00,-315.666666666667
2013-03-16 11:40:00,-315.9
2013-03-16 12:00:00,-315.866666666667
2013-03-16 12:20:00,-315.933333333333
2013-03-16 12:40:00,-316.066666666667
2013-03-16 13:00:00,-316.3
2013-03-16 13:20:00,-315.966666666667
2013-03-16 13:40:00,-316.966666666667
2013-03-16 14:00:00,-317.3
2013-03-16 14:20:00,-317.6
2013-03-16 14:40:00,-317.233333333333
2013-03-16 15:00:00,-317.2
2013-03-16 15:20:00,-317.7
2013-03-16 15:40:00,-317.866666666667
2013-03-16 16:00:00,-317.833333333333
2013-03-16 16:20:00,-318.766666666667
2013-03-16 16:40:00,-320.1
2013-03-16 17:00:00,-317.566666666667
2013-03-16 17:20:00,-318.566666666667
2013-03-16 17:40:00,-318.466666666667
2013-03-16 18:00:00,-318.966666666667
2013-03-16 18:20:00,-318.933333333333
2013-03-16 18:40:00,-319.366666666667
2013-03-16 19:00:00,-319.433333333333
2013-03-16 19:20:00,-320.133333333333
2013-03-16 19:40:00,-320.033333333333
2013-03-16 20:00:00,-319.766666666667
2013-03-16 20:20:00,-319.966666666667
2013-03-16 20:40:00,-319.8
2013-03-16 21:00:00,-320.433333333333
2013-03-16 21:20:00,-320.466666666667
2013-03-16 21:40:00,-320.433333333333
2013-03-16 22:00:00,-320.133333333333
2013-03-16 22:20:00,-319.7
2013-03-16 22:40:00,-320.066666666667
2013-03-16 23:00:00,-319.933333333333
2013-03-16 23:20:00,-320.633333333333
2013-03-16 23:40:00,-320.5
2013-03-17 00:00:00,-320.1
2013-03-17 00:20:00,-320.2
2013-03-17 00:40:00,-320.333333333333
2013-03-17 01:00:00,-320.333333333333
2013-03-17 01:20:00,-320.266666666667
2013-03-17 01:40:00,-320.266666666667
2013-03-17 02:00:00,-320.433333333333
2013-03-17 02:20:00,-320.1
2013-03-17 02:40:00,-320.1
2013-03-17 03:00:00,-320.733333333333
2013-03-17 03:20:00,-320.766666666667
2013-03-17 03:40:00,-320.7
2013-03-17 04:00:00,-321
2013-03-17 04:20:00,-321.766666666667
2013-03-17 04:40:00,-321.866666666667
2013-03-17 05:00:00,-321.5
2013-03-17 05:20:00,-321.366666666667
2013-03-17 05:40:00,-321.333333333333
2013-03-17 06:00:00,-320.966666666667
2013-03-17 06:20:00,-321.5
2013-03-17 06:40:00,-321.033333333333
2013-03-17 07:00:00,-321.3
2013-03-17 07:20:00,-321.133333333333
2013-03-17 07:40:00,-321.3
2013-03-17 08:00:00,-321.6
2013-03-17 08:20:00,-321.766666666667
2013-03-17 08:40:00,-321.5
2013-03-17 09:00:00,-321.9
2013-03-17 09:20:00,-322.166666666667
2013-03-17 09:40:00,-322.3
2013-03-17 10:00:00,-322.866666666667
2013-03-17 10:20:00,-323.266666666667
2013-03-17 10:40:00,-323.433333333333
2013-03-17 11:00:00,-323.966666666667
2013-03-17 11:20:00,-324.1
2013-03-17 11:40:00,-324.566666666667
2013-03-17 12:00:00,-324.3
2013-03-17 12:20:00,-324.666666666667
2013-03-17 12:40:00,-325.533333333333
2013-03-17 13:00:00,-325.566666666667
2013-03-17 13:20:00,-325.5
2013-03-17 13:40:00,-325.8
2013-03-17 14:00:00,-326.366666666667
2013-03-17 14:20:00,-325.333333333333
2013-03-17 14:40:00,-325.3
2013-03-17 15:00:00,-326.066666666667
2013-03-17 15:20:00,-326.2
2013-03-17 15:40:00,-326.1
2013-03-17 16:00:00,-326.166666666667
2013-03-17 16:20:00,-325.933333333333
2013-03-17 16:40:00,-326.366666666667
2013-03-17 17:00:00,-326.7
2013-03-17 17:20:00,-326.866666666667
2013-03-17 17:40:00,-327
2013-03-17 18:00:00,-326.6
2013-03-17 18:20:00,-326.6
2013-03-17 18:40:00,-326.666666666667
2013-03-17 19:00:00,-326.9
2013-03-17 19:20:00,-326.966666666667
2013-03-17 19:40:00,-326.733333333333
2013-03-17 20:00:00,-326.933333333333
2013-03-17 20:20:00,-327.233333333333
2013-03-17 20:40:00,-327.033333333333
2013-03-17 21:00:00,-327.233333333333
2013-03-17 21:20:00,-326.933333333333
2013-03-17 21:40:00,-326.866666666667
2013-03-17 22:00:00,-327
2013-03-17 22:20:00,-326.9
2013-03-17 22:40:00,-326.833333333333
2013-03-17 23:00:00,-326.666666666667
2013-03-17 23:20:00,-326.433333333333
2013-03-17 23:40:00,-326.7
2013-03-18 00:00:00,-326.966666666667
2013-03-18 00:20:00,-327.133333333333
2013-03-18 00:40:00,-327.133333333333
2013-03-18 01:00:00,-326.633333333333
2013-03-18 01:20:00,-326.866666666667
2013-03-18 01:40:00,-327.366666666667
2013-03-18 02:00:00,-327.3
2013-03-18 02:20:00,-327.266666666667
2013-03-18 02:40:00,-327.133333333333
2013-03-18 03:00:00,-327.133333333333
2013-03-18 03:20:00,-327.133333333333
2013-03-18 03:40:00,-327.133333333333
2013-03-18 04:00:00,-327.3
2013-03-18 04:20:00,-327.366666666667
2013-03-18 04:40:00,-327.033333333333
2013-03-18 05:00:00,-327.3
2013-03-18 05:20:00,-327.566666666667
2013-03-18 05:40:00,-327.066666666667
2013-03-18 06:00:00,-327.133333333333
2013-03-18 06:20:00,-327.833333333333
2013-03-18 06:40:00,-327.466666666667
2013-03-18 07:00:00,-327.8
2013-03-18 07:20:00,-328.5
2013-03-18 07:40:00,-328.133333333333
2013-03-18 08:00:00,-328.133333333333
2013-03-18 08:20:00,-328.433333333333
2013-03-18 08:40:00,-328.566666666667
2013-03-18 09:00:00,-328.433333333333
2013-03-18 09:20:00,-328.833333333333
2013-03-18 09:40:00,-328.533333333333
2013-03-18 10:00:00,-329.166666666667
2013-03-18 10:20:00,-329.866666666667
2013-03-18 10:40:00,-330.1
2013-03-18 11:00:00,-330.466666666667
2013-03-18 11:20:00,-331.2
2013-03-18 11:40:00,-331.633333333333
2013-03-18 12:00:00,-332.3
2013-03-18 12:20:00,-332.966666666667
2013-03-18 12:40:00,-333.166666666667
2013-03-18 13:00:00,-333.766666666667
2013-03-18 13:20:00,-334.4
2013-03-18 13:40:00,-335.066666666667
2013-03-18 14:00:00,-335.233333333333
2013-03-18 14:20:00,-335.733333333333
2013-03-18 14:40:00,-335.933333333333
2013-03-18 15:00:00,-336.5
2013-03-18 15:20:00,-336.666666666667
2013-03-18 15:40:00,-336.966666666667
2013-03-18 16:00:00,-337.7
2013-03-18 16:20:00,-337.6
2013-03-18 16:40:00,-338.066666666667
2013-03-18 17:00:00,-338.5
2013-03-18 17:20:00,-338.7
2013-03-18 17:40:00,-339.066666666667
2013-03-18 18:00:00,-338.633333333333
2013-03-18 18:20:00,-339.2
2013-03-18 18:40:00,-339.233333333333
2013-03-18 19:00:00,-339.166666666667
2013-03-18 19:20:00,-339.233333333333
2013-03-18 19:40:00,-339.333333333333
2013-03-18 20:00:00,-339.3
2013-03-18 20:20:00,-339.133333333333
2013-03-18 20:40:00,-339.3
2013-03-18 21:00:00,-339.5
2013-03-18 21:20:00,-339.7
2013-03-18 21:40:00,-339.7
2013-03-18 22:00:00,-339.833333333333
2013-03-18 22:20:00,-339.733333333333
2013-03-18 22:40:00,-339.5
2013-03-18 23:00:00,-339.633333333333
2013-03-18 23:20:00,-339.866666666667
2013-03-18 23:40:00,-339.833333333333
2013-03-19 00:00:00,-339.3
2013-03-19 00:20:00,-339.466666666667
2013-03-19 00:40:00,-339.566666666667
2013-03-19 01:00:00,-339.466666666667
2013-03-19 01:20:00,-339.633333333333
2013-03-19 01:40:00,-339.733333333333
2013-03-19 02:00:00,-339.966666666667
2013-03-19 02:20:00,-339.9
2013-03-19 02:40:00,-339.7
2013-03-19 03:00:00,-339.766666666667
2013-03-19 03:20:00,-340.133333333333
2013-03-19 03:40:00,-340.166666666667
2013-03-19 04:00:00,-340.033333333333
2013-03-19 04:20:00,-340.366666666667
2013-03-19 04:40:00,-340.366666666667
2013-03-19 05:00:00,-339.9
2013-03-19 05:20:00,-340.133333333333
2013-03-19 05:40:00,-339.766666666667
2013-03-19 06:00:00,-340.133333333333
2013-03-19 06:20:00,-339.966666666667
2013-03-19 06:40:00,-340.6
2013-03-19 07:00:00,-340.666666666667
2013-03-19 07:20:00,-340.6
2013-03-19 07:40:00,-340.833333333333
2013-03-19 08:00:00,-340.566666666667
2013-03-19 08:20:00,-341.1
2013-03-19 08:40:00,-341.533333333333
2013-03-19 09:00:00,-341.266666666667
2013-03-19 09:20:00,-341.7
2013-03-19 09:40:00,-341.7
2013-03-19 10:00:00,-342.2
2013-03-19 10:20:00,-342.533333333333
2013-03-19 10:40:00,-343.366666666667
2013-03-19 11:00:00,-343.6
2013-03-19 11:20:00,-344.466666666667
2013-03-19 11:40:00,-344.9
2013-03-19 12:00:00,-345.1
2013-03-19 12:20:00,-345.6
2013-03-19 12:40:00,-345.833333333333
2013-03-19 13:00:00,-347.233333333333
2013-03-19 13:20:00,-347.233333333333
2013-03-19 13:40:00,-347.866666666667
2013-03-19 14:00:00,-347.933333333333
2013-03-19 14:20:00,-348.866666666667
2013-03-19 14:40:00,-349.466666666667
2013-03-19 15:00:00,-349.7
2013-03-19 15:20:00,-350.533333333333
2013-03-19 15:40:00,-350.633333333333
2013-03-19 16:00:00,-351.333333333333
2013-03-19 16:20:00,-351.566666666667
2013-03-19 16:40:00,-351.933333333333
2013-03-19 17:00:00,-352.066666666667
2013-03-19 17:20:00,-352.7
2013-03-19 17:40:00,-352.633333333333
2013-03-19 18:00:00,-352.766666666667
2013-03-19 18:20:00,-353.033333333333
2013-03-19 18:40:00,-352.833333333333
2013-03-19 19:00:00,-353.166666666667
2013-03-19 19:20:00,-353.2
2013-03-19 19:40:00,-353.5
2013-03-19 20:00:00,-353.4
2013-03-19 20:20:00,-353.1
2013-03-19 20:40:00,-353.366666666667
2013-03-19 21:00:00,-353.2
2013-03-19 21:20:00,-353.666666666667
2013-03-19 21:40:00,-353.966666666667
2013-03-19 22:00:00,-353.433333333333
2013-03-19 22:20:00,-353.333333333333
2013-03-19 22:40:00,-353.333333333333
2013-03-19 23:00:00,-353.833333333333
2013-03-19 23:20:00,-353.333333333333
2013-03-19 23:40:00,-353.066666666667
2013-03-20 00:00:00,-353.366666666667
2013-03-20 00:20:00,-353.333333333333
2013-03-20 00:40:00,-353.266666666667
2013-03-20 01:00:00,-353.333333333333
2013-03-20 01:20:00,-353.2
2013-03-20 01:40:00,-353.533333333333
2013-03-20 02:00:00,-353.333333333333
2013-03-20 02:20:00,-353.466666666667
2013-03-20 02:40:00,-353.6
2013-03-20 03:00:00,-353.366666666667
2013-03-20 03:20:00,-353.533333333333
2013-03-20 03:40:00,-353.766666666667
2013-03-20 04:00:00,-353.733333333333
2013-03-20 04:20:00,-354.033333333333
2013-03-20 04:40:00,-353.833333333333
2013-03-20 05:00:00,-354.2
2013-03-20 05:20:00,-354.1
2013-03-20 05:40:00,-354.266666666667
2013-03-20 06:00:00,-354.366666666667
2013-03-20 06:20:00,-354.433333333333
