datetime,wtd (mm)
2013-03-16 00:00:00,-373.25
2013-03-16 00:20:00,-373.288888888889
2013-03-16 00:40:00,-373.1222222222223
2013-03-16 01:00:00,-373.23333333333335
2013-03-16 01:20:00,-373.1888888888887
2013-03-16 01:40:00,-373.26666666666665
2013-03-16 02:00:00,-373.25555555555565
2013-03-16 02:20:00,-373.30000000000035
2013-03-16 02:40:00,-373.25555555555565
2013-03-16 03:00:00,-373.24444444444435
2013-03-16 03:20:00,-373.3777777777777
2013-03-16 03:40:00,-372.97777777777765
2013-03-16 04:00:00,-364.97777777777765
2013-03-16 04:20:00,-349.5999999999997
2013-03-16 04:40:00,-333.11111111111103
2013-03-16 05:00:00,-323.4222222222223
2013-03-16 05:20:00,-321.08888888888896
2013-03-16 05:40:00,-320.52222222222235
2013-03-16 06:00:00,-320.6777777777777
2013-03-16 06:20:00,-320.14444444444433
2013-03-16 06:40:00,-319.311111111111
2013-03-16 07:00:00,-318.1222222222223
2013-03-16 07:20:00,-317.577777777778
2013-03-16 07:40:00,-316.9444444444446
2013-03-16 08:00:00,-316.4111111111113
2013-03-16 08:20:00,-315.73333333333363
2013-03-16 08:40:00,-315.6000000000003
2013-03-16 09:00:00,-315.9555555555557
2013-03-16 09:20:00,-316.288888888889
2013-03-16 09:40:00,-316.11111111111103
2013-03-16 10:00:00,-315.77777777777766
2013-03-16 10:20:00,-315.5555555555554
2013-03-16 10:40:00,-315.48888888888865
2013-03-16 11:00:00,-315.53333333333336
2013-03-16 11:20:00,-315.6
2013-03-16 11:40:00,-315.81111111111136
2013-03-16 12:00:00,-315.90000000000003
2013-03-16 12:20:00,-315.9555555555557
2013-03-16 12:40:00,-316.09999999999997
2013-03-16 13:00:00,-316.11111111111137
2013-03-16 13:20:00,-316.4111111111113
2013-03-16 13:40:00,-316.7444444444447
2013-03-16 14:00:00,-317.288888888889
2013-03-16 14:20:00,-317.3777777777777
2013-03-16 14:40:00,-317.3444444444444
2013-03-16 15:00:00,-317.3777777777777
2013-03-16 15:20:00,-317.588888888889
2013-03-16 15:40:00,-317.8
2013-03-16 16:00:00,-318.1555555555556
2013-03-16 16:20:00,-318.90000000000003
2013-03-16 16:40:00,-318.8111111111113
2013-03-16 17:00:00,-318.7444444444447
2013-03-16 17:20:00,-318.20000000000033
2013-03-16 17:40:00,-318.66666666666697
2013-03-16 18:00:00,-318.78888888888895
2013-03-16 18:20:00,-319.088888888889
2013-03-16 18:40:00,-319.2444444444443
2013-03-16 19:00:00,-319.64444444444433
2013-03-16 19:20:00,-319.86666666666633
2013-03-16 19:40:00,-319.9777777777777
2013-03-16 20:00:00,-319.9222222222223
2013-03-16 20:20:00,-319.84444444444466
2013-03-16 20:40:00,-320.06666666666666
2013-03-16 21:00:00,-320.23333333333335
2013-03-16 21:20:00,-320.44444444444434
2013-03-16 21:40:00,-320.3444444444444
2013-03-16 22:00:00,-320.0888888888887
2013-03-16 22:20:00,-319.9666666666667
2013-03-16 22:40:00,-319.90000000000003
2013-03-16 23:00:00,-320.211111111111
2013-03-16 23:20:00,-320.3555555555553
2013-03-16 23:40:00,-320.411111111111
2013-03-17 00:00:00,-320.26666666666665
2013-03-17 00:20:00,-320.211111111111
2013-03-17 00:40:00,-320.2888888888886
2013-03-17 01:00:00,-320.31111111111096
2013-03-17 01:20:00,-320.288888888889
2013-03-17 01:40:00,-320.3222222222223
2013-03-17 02:00:00,-320.2666666666667
2013-03-17 02:20:00,-320.21111111111105
2013-03-17 02:40:00,-320.311111111111
2013-03-17 03:00:00,-320.53333333333336
2013-03-17 03:20:00,-320.73333333333335
2013-03-17 03:40:00,-320.8222222222223
