datetime,wtd (mm)
2013-03-16 00:00:00,-270.533333333333
2013-03-16 00:20:00,-269.966666666667
2013-03-16 00:40:00,-270.366666666667
2013-03-16 01:00:00,-270.033333333333
2013-03-16 01:20:00,-270.3
2013-03-16 01:40:00,-270.233333333333
2013-03-16 02:00:00,-270.266666666667
2013-03-16 02:20:00,-270.266666666667
2013-03-16 02:40:00,-270.366666666667
2013-03-16 03:00:00,-270.133333333333
2013-03-16 03:20:00,-270.233333333333
2013-03-16 03:40:00,-270.766666666667
2013-03-16 04:00:00,-268.933333333333
2013-03-16 04:20:00,-246.233333333333
2013-03-16 04:40:00,-224.63333333333298
2013-03-16 05:00:00,-219.46666666666698
2013-03-16 05:20:00,-217.16666666666703
2013-03-16 05:40:00,-217.63333333333298
2013-03-16 06:00:00,-217.766666666667
2013-03-16 06:20:00,-217.63333333333298
2013-03-16 06:40:00,-216.03333333333302
2013-03-16 07:00:00,-215.266666666667
2013-03-16 07:20:00,-214.066666666667
2013-03-16 07:40:00,-214.39999999999998
2013-03-16 08:00:00,-213.36666666666702
2013-03-16 08:20:00,-212.46666666666698
2013-03-16 08:40:00,-212.36666666666702
2013-03-16 09:00:00,-212.96666666666698
2013-03-16 09:20:00,-213.53333333333302
2013-03-16 09:40:00,-213.36666666666702
2013-03-16 10:00:00,-212.433333333333
2013-03-16 10:20:00,-212.53333333333302
2013-03-16 10:40:00,-212.7
2013-03-16 11:00:00,-212.233333333333
2013-03-16 11:20:00,-212.66666666666703
2013-03-16 11:40:00,-212.89999999999998
2013-03-16 12:00:00,-212.86666666666702
2013-03-16 12:20:00,-212.933333333333
2013-03-16 12:40:00,-213.066666666667
2013-03-16 13:00:00,-213.3
2013-03-16 13:20:00,-212.96666666666698
2013-03-16 13:40:00,-213.96666666666698
2013-03-16 14:00:00,-214.3
2013-03-16 14:20:00,-214.60000000000002
2013-03-16 14:40:00,-214.233333333333
2013-03-16 15:00:00,-214.2
2013-03-16 15:20:00,-214.7
2013-03-16 15:40:00,-214.86666666666702
2013-03-16 16:00:00,-214.83333333333297
2013-03-16 16:20:00,-215.766666666667
2013-03-16 16:40:00,-217.10000000000002
2013-03-16 17:00:00,-214.566666666667
2013-03-16 17:20:00,-215.566666666667
2013-03-16 17:40:00,-215.46666666666698
2013-03-16 18:00:00,-215.96666666666698
2013-03-16 18:20:00,-215.933333333333
2013-03-16 18:40:00,-216.36666666666702
2013-03-16 19:00:00,-216.433333333333
2013-03-16 19:20:00,-217.13333333333298
2013-03-16 19:40:00,-217.03333333333302
2013-03-16 20:00:00,-216.766666666667
2013-03-16 20:20:00,-216.96666666666698
2013-03-16 20:40:00,-216.8
2013-03-16 21:00:00,-217.433333333333
2013-03-16 21:20:00,-217.46666666666698
2013-03-16 21:40:00,-217.433333333333
2013-03-16 22:00:00,-217.13333333333298
2013-03-16 22:20:00,-216.7
2013-03-16 22:40:00,-217.066666666667
2013-03-16 23:00:00,-216.933333333333
2013-03-16 23:20:00,-217.63333333333298
2013-03-16 23:40:00,-217.5
