datetime,wtd (mm)
2013-03-16 00:00:00,-243.533333333333
2013-03-16 00:20:00,-242.966666666667
2013-03-16 00:40:00,-243.366666666667
2013-03-16 01:00:00,-243.033333333333
2013-03-16 01:20:00,-243.3
2013-03-16 01:40:00,-243.233333333333
2013-03-16 02:00:00,-243.266666666667
2013-03-16 02:20:00,-243.266666666667
2013-03-16 02:40:00,-243.366666666667
2013-03-16 03:00:00,-243.133333333333
2013-03-16 03:20:00,-243.233333333333
2013-03-16 03:40:00,-243.766666666667
2013-03-16 04:00:00,-241.933333333333
2013-03-16 04:20:00,-219.233333333333
2013-03-16 04:40:00,-197.633333333333
2013-03-16 05:00:00,-192.466666666667
2013-03-16 05:20:00,-190.166666666667
2013-03-16 05:40:00,-190.633333333333
2013-03-16 06:00:00,-190.766666666667
2013-03-16 06:20:00,-190.633333333333
2013-03-16 06:40:00,-189.033333333333
2013-03-16 07:00:00,-188.266666666667
2013-03-16 07:20:00,-187.066666666667
2013-03-16 07:40:00,-187.4
2013-03-16 08:00:00,-186.366666666667
2013-03-16 08:20:00,-185.466666666667
2013-03-16 08:40:00,-185.366666666667
2013-03-16 09:00:00,-185.966666666667
2013-03-16 09:20:00,-186.533333333333
2013-03-16 09:40:00,-186.366666666667
2013-03-16 10:00:00,-185.433333333333
2013-03-16 10:20:00,-185.533333333333
2013-03-16 10:40:00,-185.7
2013-03-16 11:00:00,-185.233333333333
2013-03-16 11:20:00,-185.666666666667
2013-03-16 11:40:00,-185.9
2013-03-16 12:00:00,-185.866666666667
2013-03-16 12:20:00,-185.933333333333
2013-03-16 12:40:00,-186.066666666667
2013-03-16 13:00:00,-186.3
2013-03-16 13:20:00,-185.966666666667
2013-03-16 13:40:00,-186.966666666667
2013-03-16 14:00:00,-187.3
2013-03-16 14:20:00,-187.6
2013-03-16 14:40:00,-187.233333333333
2013-03-16 15:00:00,-187.2
2013-03-16 15:20:00,-187.7
2013-03-16 15:40:00,-187.866666666667
2013-03-16 16:00:00,-187.833333333333
2013-03-16 16:20:00,-188.766666666667
