datetime,wtd (mm)
2013-03-16 00:00:00,-243.25
2013-03-16 00:20:00,-243.288888888889
2013-03-16 00:40:00,-243.12222222222235
2013-03-16 01:00:00,-243.23333333333335
2013-03-16 01:20:00,-243.18888888888864
2013-03-16 01:40:00,-243.26666666666665
2013-03-16 02:00:00,-243.25555555555567
2013-03-16 02:20:00,-243.30000000000032
2013-03-16 02:40:00,-243.25555555555567
2013-03-16 03:00:00,-243.24444444444433
2013-03-16 03:20:00,-243.37777777777765
2013-03-16 03:40:00,-242.97777777777765
2013-03-16 04:00:00,-234.97777777777765
2013-03-16 04:20:00,-219.59999999999968
2013-03-16 04:40:00,-203.111111111111
2013-03-16 05:00:00,-193.42222222222233
2013-03-16 05:20:00,-191.08888888888904
2013-03-16 05:40:00,-190.52222222222235
2013-03-16 06:00:00,-190.6777777777777
2013-03-16 06:20:00,-190.1444444444443
2013-03-16 06:40:00,-189.311111111111
2013-03-16 07:00:00,-188.12222222222235
2013-03-16 07:20:00,-187.577777777778
2013-03-16 07:40:00,-186.94444444444466
2013-03-16 08:00:00,-186.41111111111135
2013-03-16 08:20:00,-185.73333333333366
2013-03-16 08:40:00,-185.60000000000034
2013-03-16 09:00:00,-185.95555555555566
2013-03-16 09:20:00,-186.288888888889
2013-03-16 09:40:00,-186.11111111111097
2013-03-16 10:00:00,-185.7777777777777
2013-03-16 10:20:00,-185.55555555555532
2013-03-16 10:40:00,-185.48888888888868
2013-03-16 11:00:00,-185.53333333333333
2013-03-16 11:20:00,-185.6
2013-03-16 11:40:00,-185.81111111111133
2013-03-16 12:00:00,-185.9
2013-03-16 12:20:00,-185.95555555555566
2013-03-16 12:40:00,-186.1
2013-03-16 13:00:00,-186.11111111111134
2013-03-16 13:20:00,-186.41111111111135
2013-03-16 13:40:00,-186.74444444444467
2013-03-16 14:00:00,-187.288888888889
2013-03-16 14:20:00,-187.37777777777765
2013-03-16 14:40:00,-187.34444444444435
2013-03-16 15:00:00,-187.37777777777765
2013-03-16 15:20:00,-187.588888888889
2013-03-16 15:40:00,-187.79999999999998
2013-03-16 16:00:00,-188.15555555555565
2013-03-16 16:20:00,-188.89999999999998
2013-03-16 16:40:00,-188.81111111111133
2013-03-16 17:00:00,-188.74444444444467
2013-03-16 17:20:00,-188.20000000000036
2013-03-16 17:40:00,-188.666666666667
2013-03-16 18:00:00,-188.788888888889
2013-03-16 18:20:00,-189.088888888889
